2022-10-16,9
2022-10-17,11
2022-10-18,17
2022-10-19,18
2022-10-20,12
2022-10-21,15
2022-10-22,20
2022-10-23,19
2022-10-24,13
2022-10-25,16
2022-10-26,13
2022-10-27,11
2022-10-28,11
2022-10-29,9
2022-10-30,15
2022-10-31,15
2022-11-01,16
2022-11-02,11
2022-11-03,20
2022-11-04,23
2022-11-05,18
2022-11-06,19
2022-11-07,14
2022-11-08,17
2022-11-09,12
2022-11-10,13
2022-11-11,14
2022-11-12,12
2022-11-13,14
2022-11-14,15
2022-11-15,11
2022-11-16,7
2022-11-17,9
2022-11-18,9
2022-11-19,8
2022-11-20,8
2022-11-21,11
2022-11-22,9
2022-11-23,12
2022-11-24,6
