2022-10-16,40
2022-10-17,44
2022-10-18,83
2022-10-19,65
2022-10-20,48
2022-10-21,59
2022-10-22,77
2022-10-23,125
2022-10-24,41
2022-10-25,42
2022-10-26,44
2022-10-27,40
2022-10-28,38
2022-10-29,24
2022-10-30,59
2022-10-31,52
2022-11-01,38
2022-11-02,29
2022-11-03,94
2022-11-04,93
2022-11-05,59
2022-11-06,144
2022-11-07,59
2022-11-08,58
2022-11-09,40
2022-11-10,46
2022-11-11,84
2022-11-12,62
2022-11-13,120
2022-11-14,68
2022-11-15,40
2022-11-16,19
2022-11-17,27
2022-11-18,29
2022-11-19,27
2022-11-20,25
2022-11-21,18
2022-11-22,17
2022-11-23,33
2022-11-24,16
